sample_id,text,true_label,sample_type,selection_reason
case_001,이 영화 정말 재미있어요 추천합니다,,custom,inputs.txt
case_002,스토리가 지루하고 배우들 연기도 별로네요,,custom,inputs.txt
case_003,처음엔 지루했는데 갈수록 정말 재미있어지네요,,custom,inputs.txt
case_004,배우들의 연기는 명품인데 각본이 너무 쓰레기네요,,custom,inputs.txt
case_005,와... 이런 영화에 내 피 같은 돈을 쓰다니 대단하다,,custom,inputs.txt
case_006,수면제 대신 보면 딱 좋은 훌륭한 영화입니다,,custom,inputs.txt
case_007,와 진짜 개존잼!!! 꼭보세요 ㅋㅋㅋ,,custom,inputs.txt
case_008,시간낭비 오지구요 지리구요 다신 안봄 ㅡㅡ,,custom,inputs.txt
case_009,스토리가 지루하긴 한데 배우들은 멋있음,,custom,inputs.txt
case_010,개노잼임 ㅡㅡ,,custom,inputs.txt
case_011,평점 알바들만 넘치네 진짜 돈 아깝다,,custom,inputs.txt
case_012,어설픈 신파보다 백배 천배 낫다. 가슴 먹먹해지는 수작.,,custom,inputs.txt
case_013,솔직히 재미는 없음... 시간 때우기용도 안됨,,custom,inputs.txt
case_014,개연성이 밥말아먹었나 스토리가 왜 이 모양임?,,custom,inputs.txt
case_015,"연출, 연기, 음악 삼박자가 완벽하다. 꼭 극장가서 보세요.",,custom,inputs.txt
case_016,하도 재밌다길래 봤는데 진짜 개노잼임 절대보지마셈,,custom,inputs.txt
case_017,오랜만에 가슴 따뜻해지는 웰메이드 영화 한 편 봤네요. 강추!!,,custom,inputs.txt
case_018,뻔하디 뻔한 한국식 억지 감동 짜내기 영화 극혐,,custom,inputs.txt
case_019,내 돈이랑 시간 돌려내라 ㅋㅋㅋ 감독 누구냐 진짜,,custom,inputs.txt
case_020,배우들 얼굴 보러 갔다가 힐링 제대로 하고 옴 ㅠㅠ 연기도 찰떡,,custom,inputs.txt
case_021,초반엔 오? 하다가 후반 갈수록 산으로 가네 ㅋㅋㅋ 어이없음,,custom,inputs.txt
case_022,인생작입니다. 살면서 본 시트콤 중에 감히 최고라고 말하고 싶네요.,,custom,inputs.txt
case_023,지루해서 중간에 나왔어요 돈날림주의;;;,,custom,inputs.txt
case_024,연기도 좋고 영상도 아름답고 음악도 훌륭했지만 정작 스토리가 너무 엉성해서 전체적으로는 실망스러웠습니다.,,custom,inputs.txt
case_025,킬링타임으로 제격임 ㅋㅋ 유치하긴 한데 가볍게 웃기 좋네요,,custom,inputs.txt
case_026,평점 왜 이럼? 생각보다 완전 명작인데 억까들 많네,,custom,inputs.txt
case_027,원작 웹툰이 훨씬 나음.. 실사화는 그냥 폭망 수준,,custom,inputs.txt
case_028,가볍게 볼 로맨틱 코미디 찾다가 완전 인생 영화 건짐... 설렘 터짐,,custom,inputs.txt
case_029,1점도 아깝다 스토리 연출 캐스팅 다 엉망진창임,,custom,inputs.txt
case_030,가슴 아픈 역사적 사실을 잘 담아낸 의미 있는 영화입니다. 먹먹하네요.,,custom,inputs.txt
